feature_1,feature_2,feature_3,feature_4,feature_5,label
83,58,99,56,28,2
1,42,82,48,40,3
97,63,76,72,88,0
80,4,38,27,9,2
16,56,76,31,88,4
14,25,34,67,24,2
73,26,20,64,10,4
83,67,24,5,67,4
58,27,80,15,35,4
76,53,44,26,47,1
34,87,95,50,84,3
12,87,4,87,48,2
55,1,89,66,30,3
3,21,89,84,49,0
86,85,62,97,38,2
15,52,79,46,25,3
21,88,5,70,47,3
87,68,91,18,21,0
92,99,86,23,64,4
67,40,10,89,52,2
72,75,61,64,5,2
53,55,37,56,59,0
93,69,73,59,2,4
65,60,51,30,11,2
92,76,39,90,77,2
72,63,64,61,54,2
92,94,73,95,58,4
85,56,34,31,52,0
89,76,1,55,22,2
40,1,65,63,54,3
42,21,79,81,22,4
38,99,80,8,62,1
47,17,17,90,13,0
17,38,81,78,45,3
6,35,14,72,61,2
15,54,27,13,31,1
35,60,6,69,86,0
58,49,23,89,34,4
26,47,5,90,20,1
6,70,59,64,18,1
4,17,14,78,13,3
7,44,15,19,63,0
35,81,35,19,20,3
100,35,32,48,44,3
24,61,17,71,50,2
65,99,32,36,13,4
70,58,14,37,79,1
68,40,59,80,92,0
16,62,4,45,90,4
28,96,66,31,3,4
8,24,15,43,31,0
73,45,66,8,71,4
57,80,99,30,74,2
18,69,93,39,60,4
98,43,45,23,69,2
94,6,56,4,93,1
23,6,32,18,15,1
40,96,73,74,84,3
6,63,67,11,43,2
17,96,4,63,68,1
81,41,83,5,32,4
86,70,35,22,65,0
84,22,11,77,3,0
9,60,76,87,14,2
97,18,73,23,74,3
83,47,69,47,87,4
30,25,28,98,25,2
74,78,58,94,41,0
25,78,99,48,98,2
10,99,75,11,85,4
21,86,45,7,81,1
64,64,2,76,42,4
82,54,75,16,18,1
99,59,90,16,6,1
57,47,48,42,76,1
60,77,4,2,90,2
59,27,27,79,72,0
7,63,46,63,12,2
13,43,17,63,81,0
36,85,8,69,90,4
80,36,28,93,47,3
76,30,23,16,14,4
74,71,52,37,29,2
67,15,100,47,46,2
52,19,77,21,64,0
37,27,55,29,20,2
25,70,63,36,2,1
22,96,16,18,69,2
54,100,30,45,19,0
87,34,13,43,62,0
93,100,22,52,52,1
36,73,19,38,70,0
79,57,20,9,32,3
4,50,82,5,20,4
87,75,37,22,58,2
68,93,44,34,77,3
42,9,95,7,68,2
19,94,31,35,57,3
85,61,31,83,95,2
53,32,66,59,10,1
2,66,60,88,17,0
96,16,16,46,39,0
31,88,1,11,85,1
4,71,26,50,12,3
95,81,97,75,92,4
96,65,47,92,53,3
71,2,24,4,19,0
26,75,40,50,43,4
75,67,12,67,27,2
54,66,49,16,2,4
60,54,30,84,38,3
28,25,96,10,60,1
42,40,97,77,42,2
47,37,80,22,57,3
84,27,41,80,34,2
32,90,89,66,12,4
40,73,76,90,73,0
10,96,98,48,20,3
39,60,66,65,51,1
36,24,27,2,31,4
57,78,66,29,15,3
12,28,84,24,21,1
10,78,18,88,14,3
34,58,76,22,70,4
36,45,36,22,78,3
80,61,100,56,89,2
96,33,45,36,20,4
18,38,67,23,96,3
16,59,69,68,21,0
78,95,78,70,12,3
16,81,87,14,61,2
71,46,32,15,44,1
17,41,54,44,98,1
5,27,87,78,79,1
43,97,31,99,17,0
92,83,54,62,87,2
32,40,13,84,35,4
5,73,29,70,25,1
95,22,66,45,69,2
91,89,72,1,84,3
44,87,96,75,39,0
54,88,75,29,54,2
90,16,99,20,46,2
67,65,58,53,1,4
81,66,29,84,70,2
8,29,51,33,3,4
60,35,69,91,76,0
84,20,73,39,4,0
19,91,45,43,13,3
13,60,57,86,92,4
52,53,86,43,83,4
72,72,42,90,26,1
23,43,77,28,9,1
20,56,83,39,51,3
12,79,95,55,78,0
11,26,42,27,11,1
38,98,43,19,64,2
6,46,42,92,65,0
99,72,59,52,47,2
7,11,61,68,25,4
12,26,12,43,51,0
37,46,53,88,80,3
13,89,54,57,4,4
75,96,49,7,11,4
92,54,87,45,23,2
28,57,26,25,54,4
29,83,97,36,14,1
78,35,30,92,17,0
67,80,30,93,45,1
79,89,51,47,53,2
64,38,64,87,89,2
7,22,81,82,41,0
74,10,57,7,50,4
91,52,33,1,53,3
60,34,4,17,4,2
43,90,4,1,71,0
94,50,73,61,35,3
8,24,83,36,50,4
43,27,32,78,18,2
28,29,16,99,47,0
59,31,4,37,17,0
39,48,46,90,48,0
39,4,30,30,22,2
75,66,12,94,36,3
18,90,53,71,1,0
58,90,87,90,6,4
70,44,72,24,86,0
19,18,95,30,42,3
33,74,12,94,27,2
39,9,21,76,29,0
33,62,15,2,52,0
44,54,18,3,7,4
43,82,38,37,58,4
33,59,95,11,68,0
82,68,98,93,88,0
22,66,44,6,42,4
25,57,85,55,16,3
95,14,39,28,96,1
92,51,49,9,58,1
45,22,32,69,87,0
69,42,53,96,59,4
74,39,15,71,29,2
3,83,10,92,29,2
79,35,6,12,38,1
77,93,19,67,8,3
8,84,47,4,51,1
85,67,45,8,87,0
16,77,67,9,60,3
78,77,71,15,71,2
98,41,22,24,44,4
1,10,80,72,56,4
89,50,12,89,81,0
60,26,78,41,36,1
23,43,6,69,43,0
25,18,62,13,43,4
78,28,18,59,60,2
63,57,92,51,56,4
27,32,9,96,84,3
92,97,68,46,98,4
67,26,8,6,80,4
24,48,94,45,13,3
69,25,20,82,82,1
66,74,45,47,63,4
76,77,55,75,19,0
35,53,26,14,45,4
44,88,65,51,43,0
86,23,56,19,82,3
76,55,92,92,60,4
59,33,19,28,52,3
49,37,26,99,98,3
99,40,80,38,77,1
87,54,22,16,28,4
35,60,45,46,72,0
55,86,85,26,85,0
25,65,6,23,64,4
87,43,23,96,30,1
77,18,87,79,97,1
21,57,23,91,45,1
44,82,88,47,40,0
51,42,7,50,48,3
84,91,6,91,9,1
57,31,21,90,40,0
45,77,49,87,20,0
92,17,28,41,66,3
25,58,41,6,75,4
38,6,45,75,14,4
66,40,3,99,97,1
24,19,18,64,88,1
35,62,1,100,25,3
45,49,98,89,16,1
98,93,19,23,83,3
25,16,54,73,1,0
42,19,97,34,80,1
55,18,34,89,45,0
6,21,70,96,48,2
39,31,10,30,18,3
60,88,73,95,15,2
4,63,40,9,9,1
26,4,81,16,15,0
99,52,69,5,20,1
79,18,2,93,13,2
4,42,74,61,95,1
8,67,63,9,94,4
11,99,42,13,36,2
13,12,37,74,73,1
52,71,2,56,60,0
23,40,64,85,23,1
29,78,90,51,69,0
95,89,31,50,20,4
55,81,2,25,13,1
92,70,67,58,99,4
82,75,84,64,69,2
83,86,59,60,83,0
62,16,88,68,15,2
89,55,35,55,14,0
49,83,100,7,30,4
83,49,89,16,51,3
72,82,92,80,83,1
42,17,63,45,77,4
7,27,10,34,36,0
25,6,24,18,87,0
6,29,25,55,81,0
46,24,75,26,98,0
28,3,75,38,61,1
78,51,90,48,21,2
54,56,94,59,72,3
51,20,96,86,59,1
71,9,1,29,63,0
72,56,68,35,3,1
7,27,1,91,80,4
71,44,87,41,75,0
42,33,50,63,100,3
37,59,81,99,48,0
5,48,96,3,47,3
62,99,14,63,61,3
31,95,17,24,23,2
82,50,78,79,79,2
70,27,15,50,36,1
8,79,3,62,47,1
77,98,88,96,61,3
32,94,13,1,34,0
62,79,78,93,98,4
82,71,93,31,64,4
25,38,14,8,91,0
54,2,81,78,89,0
56,94,93,84,85,2
61,22,35,16,50,4
43,17,80,58,2,3
4,85,39,98,94,1
6,81,89,69,69,2
20,64,16,51,37,4
73,69,42,57,66,0
9,100,86,64,86,4
22,34,55,29,38,3
97,18,71,65,97,2
1,88,4,4,82,0
27,43,59,32,33,3
28,55,100,60,70,1
62,80,34,87,88,2
56,13,56,18,54,3
77,43,39,61,42,3
81,79,18,23,54,0
30,98,58,68,67,1
71,18,7,40,70,3
86,65,68,49,52,2
29,21,90,78,9,3
47,76,42,51,56,4
51,70,20,88,27,2
38,72,65,54,24,2
47,71,83,86,63,3
57,55,60,99,62,0
30,93,22,75,84,2
29,41,42,98,65,4
31,30,18,17,38,0
14,87,89,79,56,0
22,67,56,19,57,0
44,98,35,1,52,2
85,93,70,37,65,0
51,1,91,21,53,3
16,61,54,40,26,0
80,92,65,100,74,4
64,43,17,59,23,1
7,44,53,71,79,4
34,46,68,78,78,2
16,71,96,19,2,0
10,50,81,12,70,0
22,32,84,1,54,3
58,70,83,18,6,0
45,97,23,23,26,4
77,7,79,44,27,2
26,97,79,36,55,1
64,91,57,69,61,0
2,55,97,80,87,1
38,80,78,29,26,0
35,79,67,87,29,2
34,97,41,41,23,4
71,3,58,32,31,2
82,43,7,1,61,1
14,52,96,6,10,0
71,90,98,30,100,1
21,60,81,97,74,4
63,42,51,64,76,2
56,80,41,32,15,1
62,27,28,81,64,1
59,58,2,36,71,4
13,15,89,87,60,0
22,63,90,97,75,1
74,25,48,43,38,4
41,45,88,40,97,0
17,88,57,2,96,0
62,88,9,68,81,2
17,50,94,40,58,4
75,85,21,18,55,0
29,24,74,17,18,2
42,84,45,82,17,3
73,14,49,29,95,4
4,82,20,47,9,3
77,79,27,15,92,0
19,90,52,26,89,4
26,26,46,92,49,2
82,96,53,3,66,0
97,42,19,17,33,4
76,49,56,63,3,4
49,55,26,99,72,3
52,100,7,46,46,0
100,16,24,61,54,2
62,1,49,25,10,2
80,16,58,72,29,0
92,6,16,20,80,0
71,78,43,26,90,1
78,71,33,26,45,3
84,63,67,52,68,0
26,75,2,14,30,0
49,12,90,44,33,1
13,78,88,98,26,1
21,28,48,100,40,4
66,73,87,79,77,2
23,81,48,2,84,3
20,59,46,3,55,4
12,40,66,100,78,0
16,83,34,44,6,1
77,64,100,22,18,2
12,52,94,51,71,4
96,48,19,6,84,2
27,53,48,7,59,1
69,11,15,64,3,4
69,23,53,37,9,4
15,3,93,70,17,2
26,21,72,21,11,1
38,72,88,35,14,0
14,10,12,38,34,4
41,10,17,17,67,0
62,95,1,12,4,1
42,13,98,85,86,4
4,82,69,19,2,4
12,81,74,98,6,0
8,51,11,63,57,3
12,73,2,8,11,0
53,100,10,85,84,0
8,36,93,76,14,3
54,85,86,21,50,1
94,39,20,88,87,1
7,9,1,26,38,4
38,61,44,86,44,2
74,62,6,17,51,2
38,24,51,10,72,4
21,70,85,57,39,2
88,33,59,18,56,0
92,57,96,76,48,0
42,27,74,52,42,3
32,26,25,75,23,3
98,57,52,87,93,4
31,64,71,33,85,4
2,18,47,33,98,4
84,35,51,18,88,0
72,30,44,53,10,2
87,52,49,11,66,4
58,90,36,33,47,4
13,40,89,68,42,0
19,82,94,19,58,0
23,54,80,65,12,0
24,34,53,8,18,2
57,5,26,30,54,4
13,83,29,3,90,1
58,76,2,75,28,1
82,77,86,76,2,4
7,26,90,88,76,4
16,23,40,60,73,4
32,15,13,5,75,4
74,52,77,41,53,2
50,15,7,40,28,1
32,99,15,100,85,3
70,65,4,11,26,1
61,37,23,93,85,1
91,40,77,23,16,0
94,61,68,80,31,4
53,25,44,12,90,4
97,92,9,12,69,4
54,54,28,56,99,0
69,98,98,77,58,2
78,75,42,38,68,2
53,33,71,56,72,3
51,74,43,15,38,2
15,5,93,83,54,2
51,10,12,4,95,4
18,80,36,25,87,1
76,98,36,67,9,2
61,53,18,43,35,2
63,98,78,4,93,0
41,45,50,79,28,3
42,80,76,69,98,0
1,39,96,90,17,4
91,88,35,46,42,1
39,90,49,62,38,3
23,22,4,49,59,0
73,68,71,87,2,2
49,88,95,31,40,2
48,51,43,98,55,3
88,49,90,80,57,2
77,15,27,68,80,0
64,94,30,36,67,0
86,86,49,76,55,2
85,56,68,95,44,2
31,58,87,53,84,4
79,23,28,16,37,1
21,79,17,37,77,3
19,30,45,18,78,0
62,36,100,84,52,3
19,44,7,44,68,4
34,66,69,55,10,0
96,42,41,77,69,4
10,10,91,60,51,4
21,8,65,92,78,2
85,30,85,49,9,3
17,69,58,57,62,3
95,52,61,40,38,2
43,63,19,100,50,3
33,13,78,97,62,2
93,43,49,36,10,0
95,6,57,1,71,4
58,91,21,92,80,4
56,87,20,54,25,3
28,5,21,18,47,1
70,57,93,19,97,4
65,3,42,21,99,2
40,67,25,55,84,1
52,44,98,85,56,1
55,87,70,77,87,4
73,81,66,19,83,4
7,63,42,42,59,4
20,73,17,27,47,2
2,63,62,100,19,1
17,69,39,82,71,3
81,39,36,40,45,2
4,25,69,30,76,0
68,88,29,73,68,4
51,24,14,69,18,1
42,57,83,12,82,2
17,30,88,75,99,0
23,81,1,79,32,2
9,15,28,24,60,2
35,86,27,83,76,3
20,65,85,49,1,3
10,47,59,96,62,2
86,18,46,32,27,0
92,18,39,49,93,1
82,44,72,54,95,1
34,71,36,18,38,4
59,9,73,72,51,4
35,82,5,14,92,1
30,4,39,84,64,2
25,28,76,66,78,2
22,31,23,48,20,3
38,55,68,79,88,3
89,1,7,57,95,4
12,5,50,42,12,1
18,66,74,79,94,2
17,68,71,62,41,1
95,34,70,45,58,0
51,34,44,15,78,1
70,50,32,67,3,0
86,86,74,51,67,3
76,93,48,17,7,3
13,66,4,10,88,4
17,52,6,83,69,1
96,74,9,91,77,1
83,21,24,4,24,0
59,99,3,68,40,3
48,54,35,95,56,0
89,40,77,68,46,3
78,13,27,6,17,0
36,99,81,2,77,3
52,66,52,92,43,0
90,22,55,67,99,3
60,58,12,88,69,0
84,39,13,41,57,1
53,12,13,74,97,4
57,40,80,45,35,0
3,5,90,11,71,4
56,10,34,67,72,1
31,75,71,66,70,1
41,63,32,20,57,3
98,50,80,25,12,4
71,39,17,45,11,2
70,23,91,70,38,3
2,86,84,89,79,4
93,72,37,49,52,0
33,22,5,18,38,0
37,94,95,64,10,1
79,42,48,44,82,2
87,97,16,54,35,0
98,28,2,94,13,4
41,80,59,69,92,4
53,45,20,24,61,0
91,94,58,27,26,4
7,42,47,53,59,4
38,69,87,92,98,1
53,15,96,26,48,2
95,19,9,64,93,1
54,51,39,4,3,2
64,29,11,97,58,4
75,27,97,21,39,2
95,46,66,91,36,4
75,82,65,63,99,4
35,31,28,1,25,1
43,84,67,63,51,1
2,82,64,74,69,3
9,2,34,60,61,0
31,10,76,36,85,3
49,70,49,3,74,3
5,90,61,85,90,2
26,72,5,15,16,4
1,16,37,3,52,4
47,95,13,80,55,4
21,66,54,27,38,0
90,58,62,46,89,2
11,72,8,97,71,2
64,21,72,63,85,4
64,20,8,58,46,3
31,93,9,15,94,0
26,10,29,80,36,3
84,37,86,71,23,1
41,93,80,28,48,2
38,31,14,97,73,2
91,88,77,90,29,3
51,49,43,92,92,0
72,87,93,5,42,2
7,42,36,27,58,3
46,66,25,73,27,0
1,87,74,42,52,3
25,54,67,6,58,0
70,53,66,58,82,4
87,2,76,22,37,0
20,24,84,65,65,1
81,1,94,3,46,4
55,75,88,86,64,3
45,26,77,65,24,4
74,35,24,28,100,4
80,16,59,81,54,3
79,16,15,98,11,3
65,79,90,68,43,1
69,99,13,10,75,3
82,98,41,50,87,2
71,59,39,3,76,2
7,49,26,33,48,1
79,2,71,32,4,0
20,36,32,28,77,0
1,60,56,35,30,2
54,36,55,89,80,3
58,83,65,69,51,1
22,88,53,100,36,0
68,36,52,53,82,0
50,80,41,18,22,4
66,21,100,44,47,2
39,29,54,90,85,3
17,80,60,31,73,1
95,78,49,2,48,0
14,59,97,99,58,4
58,51,84,2,41,2
83,82,16,4,12,2
29,7,14,12,99,1
5,81,32,74,43,0
81,69,45,9,49,1
33,100,100,18,9,1
62,57,29,78,25,4
15,6,42,29,79,2
93,4,82,57,49,3
44,80,75,14,3,2
62,64,45,82,58,2
20,58,89,57,77,4
68,78,97,92,52,3
37,8,44,98,5,0
69,31,45,9,32,3
33,67,30,76,29,0
3,90,57,30,9,3
26,2,62,3,46,1
68,25,51,13,44,3
35,55,87,9,2,4
61,41,44,64,31,0
47,2,96,82,77,2
69,58,44,74,56,4
43,89,34,30,71,0
70,55,67,13,3,0
26,57,24,53,70,2
43,60,58,49,42,1
76,100,66,11,98,4
90,18,85,100,52,2
46,44,22,53,59,2
94,30,8,98,57,1
73,20,25,19,5,4
75,79,72,83,87,2
27,40,96,26,27,1
62,83,50,42,29,4
39,60,41,33,83,3
83,97,16,23,7,0
26,96,12,72,5,1
92,69,49,26,5,0
22,79,13,28,33,3
23,97,18,30,26,2
16,77,39,33,26,2
48,65,38,2,6,4
46,50,38,88,18,1
27,41,72,92,74,1
17,62,29,58,70,4
78,22,6,26,39,0
12,99,14,22,51,2
23,48,71,50,89,2
13,85,10,55,9,1
79,52,2,25,13,1
98,51,58,34,35,4
3,59,70,48,64,3
19,67,82,73,76,0
5,67,11,94,68,3
69,1,91,92,63,3
29,82,12,77,41,1
2,37,45,80,48,1
24,99,22,100,11,1
58,46,29,35,15,3
60,95,42,43,80,0
74,49,64,32,64,1
2,24,87,66,38,2
31,26,29,67,78,0
25,48,65,53,67,2
90,18,9,38,87,0
21,65,21,27,70,1
44,100,28,45,17,4
40,3,76,76,66,1
46,86,87,30,69,3
9,85,11,69,99,3
91,66,88,31,33,0
39,94,46,37,92,3
60,31,11,87,2,1
27,99,2,21,58,2
5,52,45,85,93,1
20,61,38,20,25,0
2,32,26,70,41,3
67,97,1,51,5,2
13,19,12,48,25,4
57,35,76,94,5,2
98,22,77,57,47,2
54,3,53,84,31,1
69,88,33,72,88,4
50,84,16,76,77,0
39,89,46,96,88,0
47,44,9,87,50,2
77,60,96,15,36,2
63,69,86,80,41,3
74,24,82,49,18,4
7,4,90,69,60,2
55,16,99,90,82,3
29,23,14,79,49,4
33,25,21,17,23,0
57,81,58,14,93,3
20,30,19,53,56,4
77,82,23,62,33,3
18,73,33,32,61,2
54,17,19,91,70,1
99,34,84,25,68,0
74,74,88,85,11,2
91,16,90,61,94,2
80,7,16,99,16,4
40,12,35,21,50,3
43,100,17,32,41,0
6,88,27,20,25,2
66,9,92,53,61,4
38,3,84,70,97,0
55,1,70,45,98,3
47,79,26,14,54,2
71,46,31,88,59,2
95,29,96,17,14,2
36,58,24,63,91,0
25,59,32,82,18,0
37,26,9,99,64,0
72,20,54,86,83,0
30,53,92,99,63,4
11,31,49,100,94,1
87,19,12,15,31,4
43,37,79,29,26,2
2,84,15,4,86,4
50,38,23,59,90,3
75,28,66,8,29,0
11,18,55,50,14,3
74,99,9,99,11,3
63,76,67,53,39,2
78,56,28,75,39,0
25,21,10,43,15,3
83,48,86,21,60,2
96,50,23,13,69,0
4,92,78,72,9,1
35,21,58,18,97,2
72,81,43,95,98,4
6,86,78,67,12,0
100,12,66,2,15,3
23,29,81,96,7,3
94,28,14,44,30,4
81,32,70,88,6,4
27,82,88,24,34,3
40,47,79,75,86,0
24,65,18,44,76,2
57,28,71,23,85,4
34,11,86,35,93,4
42,28,82,78,82,4
92,24,8,53,72,1
4,91,100,5,97,0
49,98,30,72,63,0
47,26,57,37,98,0
7,40,92,39,62,0
92,78,53,4,82,0
25,7,28,69,67,3
95,20,83,11,67,4
87,7,23,61,71,3
34,19,58,9,48,1
82,41,48,45,25,2
78,25,19,39,79,4
80,27,74,63,68,1
19,28,85,78,33,3
10,83,30,22,3,2
82,75,48,2,76,1
54,6,40,93,94,2
2,73,2,93,97,1
74,98,55,72,60,3
97,6,19,96,27,2
1,33,40,32,69,1
17,8,57,42,98,3
9,87,35,71,79,4
53,54,84,25,67,3
62,55,46,24,98,3
46,22,11,48,8,4
39,35,49,46,38,3
8,54,37,91,92,4
40,34,96,79,17,4
33,47,52,80,93,4
9,33,60,93,77,1
21,58,85,69,10,2
6,13,65,20,57,1
46,8,10,73,67,4
11,12,10,25,49,2
49,89,11,62,36,2
39,53,90,78,56,4
1,56,4,30,12,2
35,77,52,31,87,2
68,52,80,7,22,1
93,75,56,97,58,2
93,64,12,7,55,4
62,90,73,98,77,0
55,36,89,24,44,0
17,2,13,31,93,0
28,60,27,15,95,4
79,33,20,42,12,0
73,23,72,96,14,1
91,25,77,85,31,4
54,5,13,28,43,4
89,99,47,71,38,4
96,67,62,39,37,2
86,8,81,52,91,2
33,81,42,76,27,2
8,23,64,93,20,3
16,17,80,19,8,1
